Country,Sector,Region,Sub-Region,ATC2,Corporation,Molecule List,Int-Product,NFC123,Int-Pack,Int-Strength,Int-Pack Size,Innovation Insights,Month,Standard Units,US$ MNF,KG
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jul 2020,"21,644",,0.0576
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jun 2020,"19,068",,0.0507
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,May 2020,"15,904",,0.0423
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Apr 2020,"15,652",,0.0416
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Mar 2020,"28,084",,0.0747
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Feb 2020,"16,156",,0.043
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jan 2020,"18,508",,0.0492
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Dec 2019,"24,696",,0.0657
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Nov 2019,"18,340",,0.0488
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Oct 2019,"27,104",,0.0721
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Sep 2019,"24,024",,0.0639
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Aug 2019,"21,140",,0.0562
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jul 2019,"23,212",,0.0617
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jun 2019,"18,368",,0.0489
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,May 2019,"24,556",,0.0653
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Apr 2019,"25,648",,0.0682
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Mar 2019,"19,908",,0.053
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Feb 2019,"17,136",,0.0456
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jan 2019,"16,744",$2,0.0445
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Dec 2018,"20,804",,0.0553
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Nov 2018,"21,056",,0.056
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Oct 2018,"25,536",,0.0679
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Sep 2018,"20,748",,0.0552
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Aug 2018,"24,808",,0.066
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jul 2018,"20,944",,0.0557
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jun 2018,"17,220",,0.0458
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,May 2018,"20,916",,0.0556
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Apr 2018,"18,872",,0.0502
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Mar 2018,"24,584",,0.0654
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Feb 2018,"17,108",,0.0455
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Jan 2018,"19,124",,0.0509
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Dec 2017,"22,820",,0.0607
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Nov 2017,"22,512",,0.0599
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Oct 2017,"22,176",,0.059
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Sep 2017,"19,348",,0.0515
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,Aug 2017,"19,264",,0.0512
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jul 2020,"36,624",,0.3897
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,Jun 2020,"33,292",,0.3542
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,May 2020,"29,988",,0.3191
