Country,Sector,Region,Sub-Region,ATC2,Corporation,Molecule List,Int-Product,NFC123,Int-Pack,Int-Strength,Int-Pack Size,Innovation Insights,Standard Units 2018-07,Standard Units 2019-07,Standard Units 2020-07,US$ MNF 2018-07,US$ MNF 2019-07,US$ MNF 2020-07,KG 2018-07,KG 2019-07,KG 2020-07
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,244888.0,258524.0,250320.0,0.0,2.0,0.0,0.6514,0.6876,0.6658000000000001
AUSTRALIA,HOSPITAL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,486808.0,552496.0,516656.0,0.0,0.0,0.0,5.1797,5.8786,5.4972
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,4547508.0,4703216.0,4698568.0,1163.0,1111.0,1046.0,12.096300000000001,12.5106,12.498199999999999
AUSTRALIA,RETAIL,AAA,SOUTHEAST ASIA,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,ADY OTH SPEC FRMS,OTH SPC FORM 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,6616624.0,7278600.0,7610540.0,1696.0,1721.0,1698.0,70.4011,77.44430000000001,80.9761
AUSTRIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,NON ORIGINAL BRANDED PRODUCTS,,448.0,1064.0,,244.0,572.0,,0.0011,0.0026000000000000003
AUSTRIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 28,4MG+1MG,28,NON ORIGINAL BRANDED PRODUCTS,,56.0,140.0,,50.0,124.0,,0.0003,0.0007
AUSTRIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,NON ORIGINAL BRANDED PRODUCTS,,364.0,1204.0,,557.0,1801.0,,0.0039,0.012899999999999998
AUSTRIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,7560.0,6272.0,4452.0,8838.0,6628.0,3364.0,0.0201,0.016700000000000003,0.0118
AUSTRIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,4130.0,2639.0,2730.0,4798.0,2862.0,2057.0,0.011099999999999999,0.007000000000000001,0.007400000000000001
AUSTRIA,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,RECKITT BENCKISER,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,2016.0,2660.0,2436.0,7036.0,7694.0,5160.0,0.0216,0.0284,0.026000000000000002
